Name,Year,Rating,Liked,Watch Date,Runtime,Rewatched,Letterboxd URI
Tenet,2020,4.0,,,,,https://letterboxd.com/film/tenet/
Terminator 2: Judgment Day,1991,4.5,,,,,https://letterboxd.com/film/terminator-2-judgment-day/
The Autopsy of Jane Doe,2016,3.5,,,,,https://letterboxd.com/film/the-autopsy-of-jane-doe/
The Avengers,2012,3.5,,,,,https://letterboxd.com/film/the-avengers-2012/
The Babysitter,2017,3.5,,,,,https://letterboxd.com/film/the-babysitter-2017/
The Batman,2022,3.5,,,,,https://letterboxd.com/film/the-batman/
The Black Phone,2021,3.0,,,,,https://letterboxd.com/film/the-black-phone/
The Blackening,2022,3.5,,,,,https://letterboxd.com/film/the-blackening/
The Blair Witch Project,1999,3.5,,2026-03-19T00:00:00.000000Z,81,Yes,https://letterboxd.com/film/the-blair-witch-project/
The Damned,2024,4.0,,,,,https://letterboxd.com/film/the-damned-2024-1/
The Dark Knight,2008,4.0,,,,,https://letterboxd.com/film/the-dark-knight/
The Dark Knight Rises,2012,3.5,,,,,https://letterboxd.com/film/the-dark-knight-rises/
The Empty Man,2020,2.5,,2026-04-13T00:00:00.000000Z,137,,https://letterboxd.com/film/the-empty-man/
The Exorcist,1973,4.0,,2026-03-27T00:00:00.000000Z,122,,https://letterboxd.com/film/the-exorcist/
The Fall Guy,2024,2.5,,,,,https://letterboxd.com/film/the-fall-guy-2024/
The Fifth Element,1997,3.5,,,,,https://letterboxd.com/film/the-fifth-element/
The First Omen,2024,3.5,,2026-03-29T00:00:00.000000Z,119,,https://letterboxd.com/film/the-first-omen/
The Fly,1986,4.0,,2026-03-25T00:00:00.000000Z,96,,https://letterboxd.com/film/the-fly-1986/
The Girl with All the Gifts,2016,4.0,,,,,https://letterboxd.com/film/the-girl-with-all-the-gifts/
The Guest,2014,4.0,,,,,https://letterboxd.com/film/the-guest-2014/
The Hateful Eight,2015,3.5,,,,,https://letterboxd.com/film/the-hateful-eight/
The Hunt,2020,3.5,,,,,https://letterboxd.com/film/the-hunt-2020/
The Last Voyage of the Demeter,2023,3.0,,,,,https://letterboxd.com/film/the-last-voyage-of-the-demeter/
The Lost Boys,1987,3.5,,,,,https://letterboxd.com/film/the-lost-boys/
The Loved Ones,2009,4.0,,2026-04-05T00:00:00.000000Z,84,,https://letterboxd.com/film/the-loved-ones/
The Man Who Killed Hitler and Then the Bigfoot,2018,1.5,,2025-10-27T00:00:00.000000Z,96,,https://letterboxd.com/film/the-man-who-killed-hitler-and-then-the-bigfoot/
The Marksman,2021,2.0,,2025-11-29T00:00:00.000000Z,108,,https://letterboxd.com/film/the-marksman-2021/
The Martian,2015,5.0,,,,,https://letterboxd.com/film/the-martian/
The Matrix,1999,5.0,,,,,https://letterboxd.com/film/the-matrix/
The Matrix Reloaded,2003,4.0,,,,,https://letterboxd.com/film/the-matrix-reloaded/
The Matrix Revolutions,2003,2.5,,2025-08-28T00:00:00.000000Z,129,Yes,https://letterboxd.com/film/the-matrix-revolutions/
The Menu,2022,3.5,,,,,https://letterboxd.com/film/the-menu-2022/
The Mist,2007,3.0,,2026-01-11T00:00:00.000000Z,126,,https://letterboxd.com/film/the-mist/
The Monkey,2025,2.5,,,,,https://letterboxd.com/film/the-monkey-2025/
The Naked Gun,2025,4.0,,,,,https://letterboxd.com/film/the-naked-gun/
The Nice Guys,2016,4.5,,,,,https://letterboxd.com/film/the-nice-guys/
The Northman,2022,4.0,,,,,https://letterboxd.com/film/the-northman/
The Omen,1976,4.0,,2026-04-02T00:00:00.000000Z,111,,https://letterboxd.com/film/the-omen/
The Penguin,2024,5.0,,,,,https://letterboxd.com/film/the-penguin-2024/
The Pope's Exorcist,2023,3.5,,,,,https://letterboxd.com/film/the-popes-exorcist/
The Raid,2011,4.5,,2026-02-22T00:00:00.000000Z,101,,https://letterboxd.com/film/the-raid-2011/
The Return of the Living Dead,1985,4.0,,,,,https://letterboxd.com/film/the-return-of-the-living-dead/
The Rip,2026,3.5,,,,,https://letterboxd.com/film/the-rip-2026/
The Ruins,2008,2.0,,2026-02-21T00:00:00.000000Z,91,,https://letterboxd.com/film/the-ruins/
The Running Man,2025,2.5,,,,,https://letterboxd.com/film/the-running-man-2025/
The Running Man,1987,3.0,,,,,https://letterboxd.com/film/the-running-man/
The Shallows,2016,2.5,,,,,https://letterboxd.com/film/the-shallows/
The Shining,1980,3.5,,,,,https://letterboxd.com/film/the-shining/
The Siege of Jadotville,2016,2.0,,2025-08-10T00:00:00.000000Z,108,,https://letterboxd.com/film/the-siege-of-jadotville/
The Silence of the Lambs,1991,5.0,,,,,https://letterboxd.com/film/the-silence-of-the-lambs/
The Suicide Squad,2021,4.0,,,,,https://letterboxd.com/film/the-suicide-squad/
The Terminator,1984,3.5,,,,,https://letterboxd.com/film/the-terminator/
The Thing,1982,4.5,,,,,https://letterboxd.com/film/the-thing/
The Thursday Murder Club,2025,2.0,,2025-09-01T00:00:00.000000Z,118,Yes,https://letterboxd.com/film/the-thursday-murder-club/
The Truman Show,1998,3.0,,,,,https://letterboxd.com/film/the-truman-show/
The Ugly Stepsister,2025,4.0,,,,,https://letterboxd.com/film/the-ugly-stepsister/
The Vast of Night,2019,4.5,,2026-03-19T00:00:00.000000Z,91,,https://letterboxd.com/film/the-vast-of-night/
The Wailing,2016,4.5,,,,,https://letterboxd.com/film/the-wailing/
The Watchers,2024,1.5,,,,,https://letterboxd.com/film/the-watchers-2024/
The Witch,2015,3.5,,,,,https://letterboxd.com/film/the-witch-2015/
There Will Be Blood,2007,4.5,,,,,https://letterboxd.com/film/there-will-be-blood/
Thor,2011,2.5,,,,,https://letterboxd.com/film/thor/
Thor: Ragnarok,2017,4.0,,,,,https://letterboxd.com/film/thor-ragnarok/
Thrash,2026,1.5,,2026-04-14T00:00:00.000000Z,84,,https://letterboxd.com/film/thrash-2026/
Top Gun: Maverick,2022,3.5,,,,,https://letterboxd.com/film/top-gun-maverick/
Trap,2024,2.0,,2026-01-27T00:00:00.000000Z,105,,https://letterboxd.com/film/trap-2024/
Triangle,2009,3.5,,2026-04-17T00:00:00.000000Z,98,,https://letterboxd.com/film/triangle-2009/
Twisters,2024,2.0,,,,,https://letterboxd.com/film/twisters/
Upgrade,2018,3.5,,2026-03-19T00:00:00.000000Z,100,,https://letterboxd.com/film/upgrade/
Us,2019,4.0,,,,,https://letterboxd.com/film/us-2019/
Videodrome,1983,4.5,,,,,https://letterboxd.com/film/videodrome/
Villains,2019,4.5,,,,,https://letterboxd.com/film/villains-2019/
Wake Up Dead Man,2025,4.5,,,,,https://letterboxd.com/film/wake-up-dead-man/
War Machine,2026,2.5,,,,,https://letterboxd.com/film/war-machine-2026/
Warfare,2025,4.5,,,,,https://letterboxd.com/film/warfare/
We Summon the Darkness,2019,2.5,,2026-03-19T00:00:00.000000Z,91,,https://letterboxd.com/film/we-summon-the-darkness/
Weapons,2025,4.5,,,,,https://letterboxd.com/film/weapons-2025/
When Evil Lurks,2023,4.0,,2026-03-19T00:00:00.000000Z,100,Yes,https://letterboxd.com/film/when-evil-lurks/
Wind River,2017,4.5,,,,,https://letterboxd.com/film/wind-river-2017/
Zodiac,2007,3.0,,,,,https://letterboxd.com/film/zodiac/
